Class,Inherited_class,Structure_name,Crater_field,Region,Country,Continent/Ocean,Lat,Lon,Diameter_final_rim_km,Diameter_present-day_km,Diameter_outer_limit_of_deformation_km,Diameter_km,DiameterSQL_km,Age_Ma,Younger_age_limit_Ma,Best_age_Ma,Older_age_limit_Ma,Age_uncert_Ma,Age_uncert_type,Overburden_m,Present_water_depth_m,Drilled,Target,Target_water_depth_m,Impactor,,,,,,,,,,,
0,x,Decaturville,-,Missouri,USA,North America,37.90,-92.72,-,-,-,6,6,Pennsylvanian-mid Permian,261,-,319,-,"paleomagnetic, stratigraphic",0,-,Y,-,-,-,,,,,,,,,,,
0,x,Deep Bay,-,Saskatchewan,Canada,North America,56.406,-102.990,-,-,-,13,13,99 ± 4,95,99,103,4,-,buried,-,Y,-,-,-,,,,,,,,,,,
0,x,Dellen,-,-,Sweden,Europe,61.83,16.75,-,-,-,19,19,89.0 ± 2.7,86.3,89,91.7,2.7,2σ,0,-,N,-,-,-,,,,,,,,,,,
0,x,Des Plaines,-,Illinois,USA,North America,42.05,-87.87,-,-,-,8,8,< 280,-,-,280,-,-,buried,-,Y,-,-,-,,,,,,,,,,,
0,-,Dhala,-,Madhya Pradesh,India,Asia,25.29992,78.13419,>11,11,-,>11,11,1600-2150,1600,-,2150,-,stratigraphic,0,0,Y,"I, M",-,-,,,,,,,,,,,
0,x,Dobele,-,-,Latvia,Europe,56.58,23.25,-,-,-,4.5,4.5,Carboniferous-Permian,359.2,-,251,-,stratigraphic,25,0,Y,Scs,-,-,,,,,,,,,,,
0,x,Eagle Butte,-,Alberta,Canada,North America,49.70,-110.50,-,-,-,11,11,< 65,-,-,65,-,-,buried,-,Y,-,-,-,,,,,,,,,,,
0,x,Elbow,-,Saskatchewan,Canada,North America,50.98,-106.72,-,-,-,8,8,395 ± 25,370,395,420,25,-,buried,-,Y,-,-,-,,,,,,,,,,,
0,x,El'gygytgyn,-,-,Russia,Asia,67.50,172.08,-,-,-,18,18,3.5 ± 0.5,3,3.5,4,0.5,-,0,-,N,-,-,-,,,,,,,,,,,
0,-,Eltanin,-,-,-,Southern Ocean,-57.3,-90.5,15-40,-,-,15-40,32.5,2.511 ± 0.07 ,2.441,2.511,2.581,0.07,"biostratigraphic, magnetostratigraphic",0,5000,Y,W,5000,mesosiderite (low Fe),,,,,,,,,,,
0,-,Flaxman,-,-,Australia,Australia,-34.62,139.07,-,10x1,-,10x1,10,501-28.4,28.4,-,501,-,stratigraphic,0,0,N,"M, I",-,-,,,,,,,,,,,
0,x,Flynn Creek,-,Tennessee,USA,North America,36.28,-85.67,-,-,-,3.8,3.8,360 ± 20,340,360,380,20,-,0,-,Y,-,-,-,,,,,,,,,,,
0,-,Foelsche,-,Northern Territory,Australia,Australia,-16.669,136.783,-,6,-,6,6,Neoproterozoic,542,-,1000,-,-,buried,0,N,-,-,-,,,,,,,,,,,
0,x,Gardnos,-,-,Norway,Europe,60.67,9.00,-,-,-,5,5,~546,500,546,650,-,"stratigraphic, U/Pb",0,-,N,-,-,-,,,,,,,,,,,
0,x,Glasford,-,Illinois,USA,North America,40.60,-89.78,-,-,-,4,4,< 430,-,-,430,-,-,buried,-,Y,-,-,-,,,,,,,,,,,
0,-,Glikson,-,-,Australia,Australia,-23.98,121.57,-,19,-,19,19,<508,-,-,508,-,-,0,0,N,"Ss, I",-,-,,,,,,,,,,,
0,x,Glover Bluff,-,Wisconsin,USA,North America,43.97,-89.53,-,-,-,8,8,< 500,-,-,500,-,-,0,-,Y,-,-,-,,,,,,,,,,,
0,-,Goat Paddock,-,Western Australia,Australia,Australia,-18.333,126.674,-,5.8x6.3,-,5.8x6.3,6,Early Eocene (Ypresian),48.4,-,56.0,-,biostratigraphic,0,0,Y,Ssc,-,-,,,,,,,,,,,
0,-,Gosses Bluff,-,Northern Territory,Australia,Australia,-23.819,132.308,24,-,-,24,24,~143,121.6,143,164.5,-,15%,0,0,Y,Sse,-,-,,,,,,,,,,,
0,x,Gow,-,Saskatchewan,Canada,North America,56.45,-104.48,-,-,-,4,4,< 250,-,-,250,-,-,0,-,N,-,-,-,,,,,,,,,,,
0,-,Goyder,-,Northern Territory,Australia,Australia,-13.475,135.042,7-25,3,-,7-25,16,145-1400,145,-,1400,-,stratigraphic,0,0,N,Ss,-,-,,,,,,,,,,,
0,-,Granby,-,-,Sweden,Europe,58.426,14.933,2,2,-,~2,2,~467,462,467,472,5,biostratigraphic,Oct-40,0,Y,"Ssc, I, M",25-75,-,,,,,,,,,,,
0,-,Gweni-Fada,-,-,Chad,Africa,17.42,21.75,21-23,-,-,21-23,22,<385,-,-,385,-,-,0,0,N,Ssc,-,-,,,,,,,,,,,
0,x,Haughton,-,Nunavut,Canada,North America,75.37,-89.68,-,-,-,23,23,39,-,-,-,-,-,0,-,N,-,-,-,,,,,,,,,,,
0,x,Haviland,-,Kansas,USA,North America,37.58,-99.17,-,-,-,0.015,0.015,< 0.001,-,-,0.001,-,-,0,-,N,-,-,-,,,,,,,,,,,
0,x,Henbury,Henbury,Northern Territory,Australia,Australia,-24.57,133.13,-,-,-,0.18,0.18,0.0042 ± 0.0019,0.0023,0.0042,0.0061,-,10%,0,-,N,-,-,iron IIIA,,,,,,,,,,,
0,x,Holleford,-,Ontario,Canada,North America,44.47,-76.63,-,-,-,2.35,2.35,550 ± 100,450,550,650,100,-,buried,-,Y,-,-,-,,,,,,,,,,,
0,x,Ile Rouleau,-,Quebec,Canada,North America,50.68,-73.88,-,-,-,4,4,< 300,-,-,300,-,-,0,-,N,-,-,-,,,,,,,,,,,
0,x,Ilyinets,-,-,Ukraine,Europe,49.12,29.10,-,-,-,7.5,7.5,445 ± 10,435,445,455,10,-,buried,-,Y,-,-,-,,,,,,,,,,,
0,x,Iso-Naakkima,-,-,Finland,Europe,62.18,27.15,-,-,-,3,3,>1000,-,-,1000,-,-,buried,-,Y,-,-,-,,,,,,,,,,,
0,-,Jänisjärvi,-,Karelia,Russia,Europe,61.97,30.96,18,-,-,18,18,682 ± 4,678,682,686,4,"2σ, Ar isotopic",0,0,N,"Ss, M, I",0,chondrite H,,,,,,,,,,,
0,-,Jebel Waqf as Suwwan,-,-,Jordan,Asia,31.047,36.807,5.5,-,-,5.5,5.5,middle Eocene or younger,0,-,48.6,-,stratigraphic,0,0,-,Ssc,-,-,,,,,,,,,,,
0,x,Kaalijärv,Kaalijärv,-,Estonia,Europe,58.40,22.67,-,-,-,0.11,0.11,385±35 y BC,0.002355,0.00239,0.002425,0.000035,-,0,-,N,-,-,iron IA,,,,,,,,,,,
0,x,Kalkkop,-,-,South Africa,Africa,-32.72,24.57,-,-,-,0.64,0.64,0.250 ± 0.050,0.2,0.25,0.3,0.05,-,0,-,Y,-,-,-,,,,,,,,,,,
0,x,Kaluga,-,-,Russia,Europe,54.50,36.20,-,-,-,15,15,380 ± 5,375,380,385,5,-,buried,-,Y,-,-,-,,,,,,,,,,,
0,-,Kamensk,-,-,Russia,Europe,48.37,40.49,-,20-22,-,20-22,21,49-70,49,-,70,-,"biostratigraphic, Ar isotopic",buried,0,Y,Ssc,<500,-,,,,,,,,,,,
0,x,Kara,-,-,Russia,Europe,69.10,64.26,-,-,-,65,65,70.3 ± 2.2,68.1,69,72.5,-,"2σ, stratigraphic",buried,-,Y,-,-,-,,,,,,,,,,,
0,x,Kara-Kul,-,-,Tajikistan,Asia,39.02,73.45,-,-,-,52,52,< 5,-,-,5,-,-,0,-,N,-,-,-,,,,,,,,,,,
0,x,Kärdla,-,-,Estonia,Europe,58.98,22.77,-,-,-,4,4,~ 455,409.5,455,500.5,-,10%,buried,-,Y,-,-,-,,,,,,,,,,,
0,x,Karikkoselkä,-,-,Finland,Europe,62.222,25.245,-,-,-,3,3,450-440,440,-,450,-,-,0,-,-,-,-,-,,,,,,,,,,,
0,x,Karla,-,-,Russia,Europe,54.92,48.03,-,-,-,10,10,5 ± 1,4,5,6,1,-,0,-,Y,-,-,-,,,,,,,,,,,
0,-,Kelly West,-,Northern Territory,Australia,Australia,-19.9283,133.9535,8-20,-,-,8-20,14,507-1700,507,-,1700,-,stratigraphic,0-100s,0,N,Ss,-,-,,,,,,,,,,,
0,x,Kentland,-,Indiana,USA,North America,40.75,-87.40,-,-,-,13,13,< 97,-,-,97,-,-,0,-,Y,-,-,-,,,,,,,,,,,
0,x,Keurusselkä,-,-,Finland,Europe,62.13,24.60,-,-,-,30,30,<1800,-,-,1800,-,-,0,-,N,-,-,-,,,,,,,,,,,
0,x,Kgagodi,-,-,Botswana,Africa,-22.48,27.58,-,-,-,3.5,3.5,< 180,-,-,180,-,-,0,-,Y,-,-,-,,,,,,,,,,,
0,-,Kunya-Urgench,-,-,Turkmenistan,Asia,42.25,59.20,0.006,-,-,0.006,0.006,20-Jun-98,-,0.000007,-,-,na,0,0,N,Ss,0,chondrite H5,,,,,,,,,,,
0,x,Kursk,-,-,Russia,Europe,51.70,36.00,-,-,-,6,6,250 ± 80,170,250,330,80,-,buried,-,Y,-,-,-,,,,,,,,,,,
0,x,La Moinerie,-,Quebec,Canada,North America,57.43,-66.62,-,-,-,8,8,400 ± 50,350,400,450,50,-,0,-,N,-,-,-,,,,,,,,,,,
0,x,Lappajärvi,-,-,Finland,Europe,63.17,23.67,-,-,-,23,23,73.3 ± 5.3,76.9,77.3,77.7,0.4,-,0,-,Y,-,-,non chondrite carbonaceous,,,,,,,,,,,
0,-,Lawn Hill,-,Queensland,Australia,Australia,-18.682,138.650,20,18,-,20,20,1540-501,501,-,1540,-,-,0,0,N,Ss,-,-,,,,,,,,,,,
0,x,Lockne,-,-,Sweden,Europe,63.00,14.82,-,-,-,7.5,7.5,455,409.5,455,500.5,-,10%,0,-,Y,-,-,chondrite L,,,,,,,,,,,
0,x,Logancha,-,-,Russia,Asia,65.52,95.93,-,-,-,20,20,40 ± 20,20,40,60,20,-,buried,-,N,-,-,-,,,,,,,,,,,
0,x,Logoisk,-,-,Belarus,Europe,54.20,27.80,-,-,-,20,20,30 ± 1,29,30,31,1,2σ,buried,-,Y,-,-,-,,,,,,,,,,,
0,x,Lonar,-,-,India,Asia,19.97,76.52,-,-,-,1.83,1.83,0.052 ± 0.006,0.046,0.052,0.058,0.006,-,0,-,Y,-,-,chondrite,,,,,,,,,,,
0,x,Lumparn,-,-,Finland,Europe,60.145,20.130,-,-,-,5,5,440-460,440,-,460,-,-,buried,-,Y,-,-,-,,,,,,,,,,,
0,x,Macha,Macha,-,Russia,Asia,60.10,117.58,-,-,-,0.3,0.3,< 0.007,-,-,0.007,-,-,0,-,N,-,-,iron,,,,,,,,,,,
0,x,Manicouagan,-,Quebec,Canada,North America,51.38,-68.70,-,-,-,100,100,214 ± 1,213,214,215,1,-,0,-,Y,-,-,-,,,,,,,,,,,
0,x,Manson,-,Iowa,USA,North America,42.58,-94.55,-,-,-,35,35,74.1± 0.1,74,74.1,74.2,0.1,-,buried,-,Y,-,-,-,,,,,,,,,,,
0,x,Maple Creek (= White Valley),-,Saskatchewan,Canada,North America,49.800,-109.108,-,-,-,6,6,< 75,-,-,75,-,-,buried,-,Y,-,-,-,,,,,,,,,,,
0,-,Marquez,-,Texas,USA,North America,31.283,-96.295,13,-,-,13,13,58.3 ± 3.1,55.2,58.3,61.4,3.1,"radiometric, stratigraphic",buried,0,Y,Ssc,0-10,-,,,,,,,,,,,
0,x,Middlesboro,-,Kentucky,USA,North America,36.62,-83.73,-,-,-,6,6,< 300,-,-,300,-,-,0,-,Y,-,-,-,,,,,,,,,,,
0,x,Mien,-,-,Sweden,Europe,56.42,14.87,-,-,-,9,9,121.0 ± 2.3,118.7,121,123.3,2.3,-,0,-,Y,-,-,-,,,,,,,,,,,
0,x,Mishina Gora,-,-,Russia,Europe,58.72,28.05,-,-,-,4,4,300 ± 50,250,300,350,50,-,0,-,Y,-,-,-,,,,,,,,,,,
0,x,Mistastin,-,Newfoundland/Labrador,Canada,North America,55.88,-63.30,-,-,-,28,28,36.4 ± 4,32.4,36.4,40.4,4,-,0,-,N,-,-,-,,,,,,,,,,,
0,x,Mizarai,-,-,Lithuania,Europe,54.02,23.90,-,-,-,5,5,500 ± 20,480,500,520,20,-,buried,-,Y,-,-,-,,,,,,,,,,,
0,x,Mjølnir,-,-,Norway,Europe,73.80,29.67,-,-,-,40,40,143.1 ± 3.6,139.5,143.1,146.7,3.6,-,buried,-,Y,-,-,-,,,,,,,,,,,
0,-,Montagnais,-,Nova Scotia,Canada,North America,42.88,-64.22,-,-,-,45,45,50.5 ± 1.6,48.9,50.5,52.1,1.6,2σ,653,113,Y,"W, Sse, M",200-600,comet or achondrite,,,,,,,,,,,
0,x,Monturaqui,-,-,Chile,South America,-23.93,-68.28,-,-,-,0.46,0.46,< 1,-,-,1,-,-,0,-,N,-,-,iron IA?,,,,,,,,,,,
0,x,Morasko,Morasko,-,Poland,Europe,52.48,16.90,-,-,-,0.1,0.1,< 0.01,-,-,0.01,-,-,0,-,N,-,-, iron IIIC,,,,,,,,,,,
0,-,Morokweng,-,-,South Africa,Africa,-26.47,23.53,-,~70,-,~70,70,145.2 ± 0.8,144.4,145.2,146,0.8,2σ,0-100,0,Y,"I, M, Ss",-,chondrite LL,,,,,,,,,,,
0,x,Mount Toondina,-,South Australia,Australia,Australia,-27.95,135.37,-,-,-,4,4,< 110,-,-,110,-,-,0,-,N,-,-,-,,,,,,,,,,,
0,x,Neugrund,-,-,Estonia,Europe,59.33,23.67,-,-,-,7,7,~540,486,540,594,-,10%,buried,-,-,-,-,-,,,,,,,,,,,
0,x,"New Quebec (Chubb, Ungava, Pingualuit)",-,Quebec,Canada,North America,61.28,-73.67,-,-,-,3.44,3.44,1.4 ± 0.1,1.3,1.4,1.5,0.1,-,0,-,N,-,-,chondrite ordinary (L?),,,,,,,,,,,
0,-,Newporte,-,North Dakota,USA,North America,48.970,-101.961,-,-,-,3.2,3.2,472-501,472,-,501,-,stratigraphic,2800,0,Y,"I, M, Ss",10-100,-,,,,,,,,,,,
0,x,Nicholson,-,Northwest Territories,Canada,North America,62.67,-102.68,-,-,-,12.5,12.5,< 400,-,-,400,-,-,buried,-,N,-,-,-,,,,,,,,,,,
0,x,Oasis,-,-,Libya,Africa,24.58,24.40,-,-,-,18,18,< 120,-,-,120,-,-,0,-,N,-,-,-,,,,,,,,,,,
0,-,Obolon,-,-,Ukraine,Europe,49.58,32.93,-,21,-,21,21,169 +16/-5.5,163.5,169,185,-,"radiometric, stratigraphic, paleogeographic",300,0,Y,"I,M,Ssc",<100,-,,,,,,,,,,,
0,-,Odessa,Odessa,Texas,USA,North America,31.75605,-102.47891,-,-,-,0.152-0.183,0.165,0.0635 ± 0.0045,0.0595,0.0635,0.05,0.004,"luminescence, stratigraphic",0,0,Y,Scs,0,iron IAB,,,,,,,,,,,
0,x,Ouarkziz,-,-,Algeria,Africa,29.00,-7.55,-,-,-,3.5,3.5,< 70,-,-,70,-,-,0,-,N,-,-,-,,,,,,,,,,,
0,-,Paasselkä,-,-,Finland,Europe,62.15,29.38,-,-,-,9x12,10.5,< ~1900,-,-,1900,-,stratigraphic,0,0,Y,"M, I, S",-,-,,,,,,,,,,,
0,x,Piccaninny,-,Western Australia,Australia,Australia,-17.420,128.436,-,-,-,7,7,< 360,-,-,360,-,-,0,-,N,-,-,-,,,,,,,,,,,
0,x,Pilot,-,Northwest Territories,Canada,North America,60.28,-111.02,-,-,-,6,6,445 ± 2,443,445,447,2,-,0,-,N,-,-,-,,,,,,,,,,,
0,-,Popigai,-,N Siberia,Russia,Asia,71.64,111.23,-,-,-,100,100,35.7 ± 0.2,35.5,35.7,35.9,0.2,2σ,0,0,Y,"I,M, Ssc",0,chondrite L,,,,,,,,,,,
0,x,Presqu'ile,-,Quebec,Canada,North America,49.72,-74.80,-,-,-,24,24,< 500,-,-,500,-,-,0,-,N,-,-,-,,,,,,,,,,,
0,x,Puchezh-Katunki,-,-,Russia,Europe,56.97,43.72,-,-,-,80,80,167 ± 3,164,167,170,3,-,buried,-,Y,-,-,-,,,,,,,,,,,
0,x,Ragozinka,-,-,Russia,Asia,58.73,61.80,-,-,-,9,9,46 ± 3,43,46,49,3,-,buried,-,Y,-,-,-,,,,,,,,,,,
0,x,Red Wing,-,North Dakota,USA,North America,47.6117,-103.5366,-,-,-,9,9,200 ± 25,175,200,225,25,-,buried,-,Y,-,-,-,,,,,,,,,,,
0,x,Riachão,-,-,Brazil,South America,-7.70,-46.63,-,-,-,4.5,4.5,< 200,-,-,200,-,-,0,-,N,-,-,-,,,,,,,,,,,
0,x,Ries,-,-,Germany,Europe,48.88,10.62,-,-,-,24,24,14.34±0.08 ,14.26,14.34,14.42,0.08,1σ,0,-,Y,-,-,-,,,,,,,,,,,
0,x,Rio Cuarto,Rio Cuarto,-,Argentina,South America,-32.87,-64.23,-,-,-,1x4.5,2.75,< 0.1,-,-,0.1,-,-,0,-,N,-,-,-,,,,,,,,,,,
0,x,Rochechouart,-,-,France,Europe,45.83,0.93,-,-,-,23,23,214 ± 8,206,214,222,8,-,0,-,N,-,-,Stony iron?,,,,,,,,,,,
0,x,Rock Elm,-,Wisconsin,USA,North America,44.72,-92.23,-,-,-,6,6,< 505,-,-,505,-,-,0,-,-,-,-,-,,,,,,,,,,,
0,-,Roter Kamm,-,-,Namibia,Africa,-27.7656,16.2897,-,-,-,2.5,2.5,4-5,4,-,5,-,-,0,0,N,"M, S",0,Chondrite enstatite or ordinary,,,,,,,,,,,
0,-,Rotmistrovka,-,-,Ukraine,Europe,49.192,31.750,-,3,-,3,3,125 ± 20,105,125,145,20,stratigraphic,100,0,Y,I,0,-,,,,,,,,,,,
0,x,Sääksjärvi,-,-,Finland,Europe,61.42,22.38,-,-,-,5,5,514±12,502,514,526,12,-,0,-,Y,-,-,Stony iron?,,,,,,,,,,,
0,x,Saarijärvi,-,-,Finland,Europe,65.28,28.38,-,-,-,3.4,3.4,> 600,600,-,-,-,-,-,-,Y,-,-,-,,,,,,,,,,,
0,x,Saint Martin,-,Manitoba,Canada,North America,51.78,-98.53,-,-,-,40,40,220 ± 32,188,220,252,32,-,buried,-,Y,-,-,-,,,,,,,,,,,
0,-,Santa Fe,-,New Mexico,USA,North America,35.728277,-105.85966,-,-,-,6-13,9.5,"post-Grenvillian, possibly pre-Pennsylvanian (Mississippian)",0,-,1200,-,stratigraphic,0,0,-,"M, I",-,-,,,,,,,,,,,
0,x,Serpent Mound,-,Ohio,USA,North America,39.035,-83.419,-,-,-,8,8,>256 +25/-22,281,-,-,-,-,0,-,Y,-,-,-,,,,,,,,,,,
0,x,Serra da Cangalha,-,-,Brazil,South America,-8.07,-46.85,-,-,-,12,12,< 300,-,-,300,-,-,0,-,Y,-,-,-,,,,,,,,,,,
0,x,Shoemaker (formerly Teague),-,Western Australia,Australia,Australia,-25.87,120.88,-,-,-,30,30,1300-568,568,-,1300,-,-,0,-,N,-,-,-,,,,,,,,,,,
0,x,Shunak,-,-,Kazakhstan,Asia,47.20,72.70,-,-,-,2.8,2.8,45 ± 10,35,45,55,10,-,0,-,Y,-,-,-,,,,,,,,,,,
0,x,Sierra Madera,-,Texas,USA,North America,30.60,-102.92,-,-,-,12-16,14,< 100,-,-,100,-,-,0,0,Y,-,-,-,,,,,,,,,,,
0,-,Sikhote Alin,Sikhote Alin,-,Russia,Asia,46.1608,134.6533,0.0265,-,-,0.0265,0.0265,12-Feb-47,-,0.000058,-,-,-,0,0,N,-,0,iron IIAB,,,,,,,,,,,
0,x,Siljan,-,-,Sweden,Europe,61.03,14.87,-,-,-,80,80,377 ± 2,375,377,379,2,95% conf.,0,-,Y,-,-,-,,,,,,,,,,,
0,x,Slate Islands,-,Ontario,Canada,North America,48.67,-87.00,-,-,-,30,30,436 ±3,433,436,439,3,-,0,-,N,-,-,-,,,,,,,,,,,
0,x,Sobolev,-,-,Russia,Asia,46.30,137.87,-,-,-,0.053,0.053,< 0.001,-,-,0.001,-,-,0,-,Y,-,-,-,,,,,,,,,,,
0,x,Söderfjärden,-,-,Finland,Europe,63.03,21.58,-,-,-,5.5,5.5,540-520,520,-,540,-,-,buried,-,Y,-,-,-,,,,,,,,,,,
